,Neighborhood,Pop. 2010
76,Squirrel Hill South,15110
67,Shadyside,13915
13,Brookline,13214
75,Squirrel Hill North,11363
55,North Oakland,10551
15,Carrick,10113
52,Mount Washington,8799
9,Bloomfield,8442
7,Beechview,7974
36,Greenfield,7294
12,Brighton Heights,7247
10,Bluff,6600
71,South Side Flats,6597
39,Highland Park,6395
19,Central Oakland,6086
49,Marshall-Shadeland,6043
28,East Liberty,5869
62,Point Breeze,5315
68,Sheraden,5299
46,Lincoln-Lemington-Belmar,4883
78,Stanton Heights,4601
17,Central Lawrenceville,4482
72,South Side Slopes,4423
38,Hazelwood,4317
61,Perry South,4145
5,Banksville,4144
60,Perry North,4050
22,Crafton Heights,3814
43,Knoxville,3747
34,Garfield,3675
59,Overbrook,3644
16,Central Business District,3629
51,Morningside,3346
40,Homewood North,3280
82,Terrace Village,3228
45,Lincoln Place,3227
27,East Hills,3169
88,Westwood,3066
69,South Oakland,2969
18,Central Northside,2923
83,Troy Hill,2714
85,Upper Lawrenceville,2669
74,Spring Hill-City View,2648
87,West Oakland,2604
2,Allentown,2500
24,Duquesne Heights,2425
29,Elliott,2381
41,Homewood South,2344
47,Lower Lawrenceville,2341
23,Crawford-Roberts,2256
25,East Allegheny,2136
48,Manchester,2130
84,Upper Hill,2057
63,Point Breeze North,2054
8,Beltzhoover,1925
3,Arlington,1869
33,Friendship,1785
44,Larimer,1728
50,Middle Hill,1707
89,Windgap,1369
81,Swisshelm Park,1361
32,Fineview,1285
64,Polish Hill,1274
57,Northview Heights,1214
6,Bedford Dwellings,1202
80,Summer Hill,1051
58,Oakwood,1027
31,Fairywood,1002
54,New Homestead,990
0,Allegheny Center,933
65,Regent Square,928
73,Spring Garden,884
42,Homewood West,818
11,Bon Air,808
14,California-Kirkbride,761
35,Glen Hazel,716
79,Strip District,616
26,East Carnegie,570
53,Mt. Oliver,509
66,Ridgemont,483
20,Chartiers City,477
1,Allegheny West,462
37,Hays,362
56,North Shore,303
30,Esplen,301
86,West End,254
4,Arlington Heights,244
77,St. Clair,209
70,South Shore,19
21,Chateau,11
