,Neighborhood,Pop. 2010,Persons / sq. mi (2010)
0,Squirrel Hill South,15110,5657.1
1,Shadyside,13915,15108.6
2,Brookline,13214,6346.8
3,Squirrel Hill North,11363,9298.7
4,North Oakland,10551,21144.3
5,Carrick,10113,6044.8
6,Mount Washington,8799,7718.4
7,Bloomfield,8442,12025.6
8,Beechview,7974,5461.6
9,Greenfield,7294,9436.0
10,Brighton Heights,7247,6487.9
11,Bluff,6600,20183.5
12,South Side Flats,6597,7048.1
13,Highland Park,6395,5498.7
14,Central Oakland,6086,21658.4
15,Marshall-Shadeland,6043,4819.0
16,East Liberty,5869,10101.5
17,Point Breeze,5315,5293.8
18,Sheraden,5299,5953.9
19,Lincoln-Lemington-Belmar,4883,2694.8
20,Stanton Heights,4601,6259.9
21,Central Lawrenceville,4482,4654.2
22,South Side Slopes,4423,6177.4
23,Hazelwood,4317,2727.1
24,Perry South,4145,4580.1
25,Banksville,4144,4276.6
26,Perry North,4050,3341.6
27,Crafton Heights,3814,5058.4
28,Knoxville,3747,12407.3
29,Garfield,3675,8041.6
30,Overbrook,3644,4343.3
31,Central Business District,3629,5670.3
32,Morningside,3346,8759.2
33,Homewood North,3280,7557.6
34,Terrace Village,3228,9438.6
35,Lincoln Place,3227,3279.5
36,East Hills,3169,5857.7
37,Westwood,3066,4430.6
38,South Oakland,2969,5844.5
39,Central Northside,2923,11285.7
40,Troy Hill,2714,5900.0
41,Upper Lawrenceville,2669,6590.1
42,Spring Hill-City View,2648,4203.2
43,West Oakland,2604,12111.6
44,Allentown,2500,8474.6
45,Duquesne Heights,2425,3892.5
46,Elliott,2381,3929.0
47,Homewood South,2344,5889.4
48,Lower Lawrenceville,2341,5444.2
49,Crawford-Roberts,2256,8744.2
50,East Allegheny,2136,9050.8
51,Manchester,2130,7634.4
52,Upper Hill,2057,6571.9
53,Point Breeze North,2054,7181.8
54,Beltzhoover,1925,4572.4
55,Arlington,1869,3976.6
56,Friendship,1785,16839.6
57,Larimer,1728,3883.1
58,Middle Hill,1707,5596.7
59,Windgap,1369,3298.8
60,Swisshelm Park,1361,2835.4
61,Fineview,1285,5140.0
62,Polish Hill,1274,4996.1
63,Northview Heights,1214,3878.6
64,Bedford Dwellings,1202,6715.1
65,Summer Hill,1051,2394.1
66,Oakwood,1027,4075.4
67,Fairywood,1002,1034.1
68,New Homestead,990,1246.9
69,Allegheny Center,933,4442.9
70,Regent Square,928,4833.3
71,Spring Garden,884,3214.5
72,Homewood West,818,4110.6
73,Bon Air,808,2581.5
74,California-Kirkbride,761,3506.9
75,Glen Hazel,716,1570.2
76,Strip District,616,1013.2
77,East Carnegie,570,1319.4
78,Mt. Oliver,509,5090.0
79,Ridgemont,483,1308.9
80,Chartiers City,477,3613.6
81,Allegheny West,462,3276.6
82,Hays,362,206.9
83,North Shore,303,1000.0
84,Esplen,301,1308.7
85,West End,254,1270.0
86,Arlington Heights,244,1848.5
87,St. Clair,209,674.2
88,South Shore,19,89.6
89,Chateau,11,28.7
